COD_LOC;NOMBRE_LOC;CP;POBLACION;OFICINA;PROVINCIA;COD_PROY;ID_EVALUACION;Fecha de ejecucion;COD_AUDITOR;RESULTADO;TITULO_CUESTIONARIO
525;AIR MOVIL BALEAR, S.L;7180;CALVIÁ;901;BALEARES;0457_003;1964413;13/03/2014;A33663;1;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
525;AIR MOVIL BALEAR, S.L;7180;CALVIÁ;901;BALEARES;0457_003;1964414;13/03/2014;A33663;0,9074;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
525;AIR MOVIL BALEAR, S.L;7180;CALVIÁ;901;BALEARES;0457_003;1964415;13/03/2014;A33663;1;ESPECIALISTAS PROCESOS - P6 (13.14)
526;AIR MOVIL BALEAR, S.L;7500;MANACOR;901;BALEARES;0457_003;1964416;11/03/2014;A33663;0,993;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
526;AIR MOVIL BALEAR, S.L;7500;MANACOR;901;BALEARES;0457_003;1964417;11/03/2014;A33663;1;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
526;AIR MOVIL BALEAR, S.L;7500;MANACOR;901;BALEARES;0457_003;1964418;11/03/2014;A33663;0,98;ESPECIALISTAS PROCESOS APPTUALIZADOR - P6 (13.14)
11;STAND -  ALCAMPO PALMA DE MALLORCA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964419;17/03/2014;A29667;0,975;RESUMEN CONSUMO PEC P6 (13.14)
11;STAND -  ALCAMPO PALMA DE MALLORCA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964420;17/03/2014;A29667;1;CONSUMO IMAGEN GRANDES SUPERFICIES - P6 (13.14)
11;STAND -  ALCAMPO PALMA DE MALLORCA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964421;17/03/2014;A29667;1;CONSUMO PROCESOS - P6 (13.14)
442;STAND -  MEDIA MARKT PALMA DE MALLORCA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964422;17/03/2014;A29667;0,906;RESUMEN CONSUMO PEC P6 (13.14)
442;STAND -  MEDIA MARKT PALMA DE MALLORCA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964423;17/03/2014;A29667;1;CONSUMO IMAGEN GRANDES SUPERFICIES - P6 (13.14)
442;STAND -  MEDIA MARKT PALMA DE MALLORCA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964424;17/03/2014;A29667;1;CONSUMO PROCESOS - P6 (13.14)
105;STAND -  CARREFOUR PALMA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964425;11/03/2014;A33663;0,9393;RESUMEN CONSUMO PEC P6 (13.14)
105;STAND -  CARREFOUR PALMA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964426;11/03/2014;A33663;1;CONSUMO IMAGEN CARREFOUR - P6 (13.14)
105;STAND -  CARREFOUR PALMA;7000;PALMA DE MALLORCA;901;BALEARES;0457_004;1964427;11/03/2014;A33663;1;CONSUMO PROCESOS - P6 (13.14)
112;STAND -  CARREFOUR COLL EN RABASSA;7000;COLL DE RABASSA;901;BALEARES;0457_004;1964428;11/03/2014;A33663;0,98;RESUMEN CONSUMO PEC P6 (13.14)
